,x,y,congestion
0,3.0,0.0,0.1624213010072708
1,11.0,0.0,0.10761037468910217
2,15.0,0.0,0.03229210525751114
3,19.0,0.0,0.11000221967697144
4,23.0,0.0,0.01378255058079958
5,27.0,0.0,0.1874149739742279
6,31.0,0.0,0.0687146708369255
7,35.0,0.0,0.1342257261276245
8,39.0,0.0,0.01733245886862278
9,43.0,0.0,0.17555370926856995
10,47.0,0.0,0.0577891580760479
11,51.0,0.0,0.14099206030368805
12,55.0,0.0,0.05508788302540779
13,59.0,0.0,0.2840343713760376
14,63.0,0.0,0.15210285782814026
15,67.0,0.0,0.25061315298080444
16,71.0,0.0,0.0748210996389389
17,75.0,0.0,0.2532479465007782
18,79.0,0.0,0.1256205141544342
19,83.0,0.0,0.2422296702861786
20,87.0,0.0,0.08980701118707657
21,91.0,0.0,0.3024216294288635
22,95.0,0.0,0.17837433516979218
23,99.0,0.0,0.31746235489845276
24,103.0,0.0,0.12804608047008514
25,107.0,0.0,0.309000164270401
26,111.0,0.0,0.25191715359687805
27,115.0,0.0,0.43618133664131165
28,119.0,0.0,0.259746789932251
29,123.0,0.0,0.5082137584686279
30,125.0,0.0,0.007628649938851595
31,127.0,0.0,0.42011022567749023
32,129.0,0.0,0.03607993572950363
33,131.0,0.0,0.5328035950660706
34,135.0,0.0,0.3167952299118042
35,137.0,0.0,0.0004517769848462194
36,139.0,0.0,0.5441029667854309
37,143.0,0.0,0.4378149211406708
38,145.0,0.0,0.018322018906474113
39,147.0,0.0,0.49702343344688416
40,151.0,0.0,0.3038414418697357
41,153.0,0.0,0.011574752628803253
42,155.0,0.0,0.5554642677307129
43,157.0,0.0,0.021887829527258873
44,159.0,0.0,0.45378562808036804
45,161.0,0.0,0.03797890245914459
46,163.0,0.0,0.49417421221733093
47,167.0,0.0,0.24869820475578308
48,171.0,0.0,0.41979920864105225
49,175.0,0.0,0.24695387482643127
50,179.0,0.0,0.2481285035610199
51,183.0,0.0,0.10998673737049103
52,187.0,0.0,0.33446165919303894
53,191.0,0.0,0.2470865696668625
54,195.0,0.0,0.25254374742507935
55,199.0,0.0,0.0878257229924202
56,203.0,0.0,0.26243701577186584
57,207.0,0.0,0.21964962780475616
58,211.0,0.0,0.2715715765953064
59,215.0,0.0,0.1646520346403122
60,217.0,0.0,0.006168206222355366
61,219.0,0.0,0.3833361566066742
62,221.0,0.0,0.05846571549773216
63,223.0,0.0,0.3567608892917633
64,225.0,0.0,0.08544749021530151
65,227.0,0.0,0.3816531002521515
66,229.0,0.0,0.034343115985393524
67,231.0,0.0,0.19004610180854797
68,233.0,0.0,0.012890156358480453
69,235.0,0.0,0.32358431816101074
70,237.0,0.0,0.029156239703297615
71,239.0,0.0,0.25124838948249817
72,241.0,0.0,0.06397800147533417
73,243.0,0.0,0.3280378580093384
74,245.0,0.0,0.07218257337808609
75,247.0,0.0,0.28326353430747986
76,249.0,0.0,0.10588718205690384
77,251.0,0.0,0.30120977759361267
78,253.0,0.0,0.029306279495358467
79,59.0,2.0,0.016296356916427612
80,131.0,2.0,0.005571761634200811
81,155.0,2.0,0.024835631251335144
82,159.0,2.0,0.05030987039208412
83,163.0,2.0,0.04736601561307907
84,187.0,2.0,0.04676969721913338
85,191.0,2.0,0.06260900944471359
86,195.0,2.0,0.04012063145637512
87,211.0,2.0,0.06501949578523636
88,215.0,2.0,0.08118437230587006
89,219.0,2.0,0.29160016775131226
90,223.0,2.0,0.35863104462623596
91,227.0,2.0,0.33638155460357666
92,231.0,2.0,0.1424371749162674
93,235.0,2.0,0.24335111677646637
94,239.0,2.0,0.21288174390792847
95,243.0,2.0,0.3879983723163605
96,247.0,2.0,0.5663893222808838
97,251.0,2.0,0.6858453750610352
98,3.0,4.0,0.9671399593353271
99,7.0,4.0,0.92363440990448
100,9.0,4.0,0.007569640409201384
101,11.0,4.0,0.9933993220329285
102,13.0,4.0,0.07290181517601013
103,15.0,4.0,0.9628381729125977
104,19.0,4.0,0.9896987676620483
105,23.0,4.0,0.9740386009216309
106,27.0,4.0,0.9981258511543274
107,29.0,4.0,0.021589379757642746
108,31.0,4.0,0.9886356592178345
109,35.0,4.0,0.9976325631141663
110,39.0,4.0,0.9927448630332947
111,43.0,4.0,0.9993098378181458
112,47.0,4.0,0.9880965352058411
113,51.0,4.0,0.9983819127082825
114,55.0,4.0,0.9933536648750305
115,59.0,4.0,0.9996265769004822
116,63.0,4.0,0.994733989238739
117,67.0,4.0,0.9993259310722351
118,71.0,4.0,0.9943604469299316
119,75.0,4.0,0.999452531337738
120,79.0,4.0,0.991244912147522
121,83.0,4.0,0.9991388916969299
122,87.0,4.0,0.9929095506668091
123,91.0,4.0,0.9995009899139404
124,95.0,4.0,0.9947632551193237
125,99.0,4.0,0.9993362426757812
126,103.0,4.0,0.989982545375824
127,107.0,4.0,0.9988552927970886
128,111.0,4.0,0.9861359596252441
129,115.0,4.0,0.9991013407707214
130,119.0,4.0,0.9912149906158447
131,123.0,4.0,0.9994286298751831
132,127.0,4.0,0.9942544102668762
133,131.0,4.0,0.9994103908538818
134,135.0,4.0,0.9909238219261169
135,139.0,4.0,0.9991087913513184
136,143.0,4.0,0.9880625009536743
137,147.0,4.0,0.9990559816360474
138,151.0,4.0,0.9911137819290161
139,155.0,4.0,0.9994696378707886
140,159.0,4.0,0.9953465461730957
141,163.0,4.0,0.9993464350700378
142,167.0,4.0,0.9905609488487244
143,171.0,4.0,0.9985758066177368
144,175.0,4.0,0.9808505773544312
145,179.0,4.0,0.9977958798408508
146,183.0,4.0,0.9825387597084045
147,187.0,4.0,0.9979763031005859
148,191.0,4.0,0.9887754321098328
149,195.0,4.0,0.99681556224823
150,199.0,4.0,0.9716343283653259
151,203.0,4.0,0.9943418502807617
152,207.0,4.0,0.9801387190818787
153,211.0,4.0,0.9961574077606201
154,215.0,4.0,0.9860498905181885
155,219.0,4.0,0.9976834058761597
156,221.0,4.0,0.14996522665023804
157,223.0,4.0,0.9937853217124939
158,225.0,4.0,0.07181232422590256
159,227.0,4.0,0.9959902763366699
160,229.0,4.0,0.11582294851541519
161,231.0,4.0,0.9786174297332764
162,233.0,4.0,0.06423144042491913
163,235.0,4.0,0.9940733909606934
164,236.0,4.0,0.021719295531511307
165,237.0,4.0,0.20543897151947021
166,239.0,4.0,0.9806894063949585
167,241.0,4.0,0.0552494153380394
168,243.0,4.0,0.9935123920440674
169,245.0,4.0,0.3494628071784973
170,247.0,4.0,0.9925472736358643
171,249.0,4.0,0.48173201084136963
172,251.0,4.0,0.9935964345932007
173,3.0,6.0,0.08490816503763199
174,7.0,6.0,0.6476538777351379
175,11.0,6.0,0.6680344939231873
176,15.0,6.0,0.6271663308143616
177,19.0,6.0,0.25530245900154114
178,23.0,6.0,0.8763043284416199
179,27.0,6.0,0.6045673489570618
180,31.0,6.0,0.713028609752655
181,35.0,6.0,0.3123243749141693
182,39.0,6.0,0.9064594507217407
183,43.0,6.0,0.5057851076126099
184,47.0,6.0,0.5294802188873291
185,51.0,6.0,0.1532372385263443
186,55.0,6.0,0.8934124112129211
187,59.0,6.0,0.5438876748085022
188,63.0,6.0,0.696373701095581
189,67.0,6.0,0.23118609189987183
190,71.0,6.0,0.8602288365364075
191,75.0,6.0,0.31528404355049133
192,79.0,6.0,0.4709493815898895
193,83.0,6.0,0.10528440028429031
194,87.0,6.0,0.821270763874054
195,91.0,6.0,0.29010891914367676
196,95.0,6.0,0.6040226221084595
197,99.0,6.0,0.11716147512197495
198,103.0,6.0,0.7327873706817627
199,107.0,6.0,0.06539828330278397
200,111.0,6.0,0.2860543429851532
201,115.0,6.0,0.039352234452962875
202,119.0,6.0,0.770469069480896
203,123.0,6.0,0.2359340637922287
204,127.0,6.0,0.6267461776733398
205,131.0,6.0,0.15880843997001648
206,135.0,6.0,0.7846852540969849
207,139.0,6.0,0.1449079066514969
208,143.0,6.0,0.3934587836265564
209,147.0,6.0,0.08212190121412277
210,151.0,6.0,0.8292094469070435
211,155.0,6.0,0.38616934418678284
212,159.0,6.0,0.7691268920898438
213,163.0,6.0,0.3491758406162262
214,167.0,6.0,0.8706663250923157
215,171.0,6.0,0.22979260981082916
216,175.0,6.0,0.4964826703071594
217,179.0,6.0,0.1856844276189804
218,183.0,6.0,0.8633416295051575
219,187.0,6.0,0.41150230169296265
220,191.0,6.0,0.764771044254303
221,195.0,6.0,0.3829600512981415
222,199.0,6.0,0.8145192265510559
223,203.0,6.0,0.3151918649673462
224,207.0,6.0,0.6705948114395142
225,211.0,6.0,0.6187133193016052
226,215.0,6.0,0.9441766738891602
227,219.0,6.0,0.8135405778884888
228,223.0,6.0,0.9293502569198608
229,227.0,6.0,0.8658546805381775
230,231.0,6.0,0.9545894265174866
231,232.0,6.0,0.004320194013416767
232,235.0,6.0,0.7694640755653381
233,239.0,6.0,0.8542489409446716
234,243.0,6.0,0.9012499451637268
235,245.0,6.0,0.029348598793148994
236,247.0,6.0,0.992218554019928
237,251.0,6.0,0.8245589137077332
238,3.0,8.0,0.9236180782318115
239,7.0,8.0,0.9692768454551697
240,8.0,8.0,0.37312740087509155
241,11.0,8.0,0.9902482032775879
242,12.0,8.0,0.0838128924369812
243,13.0,8.0,0.22162409126758575
244,15.0,8.0,0.9908562898635864
245,16.0,8.0,0.2336122691631317
246,19.0,8.0,0.9810178279876709
247,20.0,8.0,0.18433211743831635
248,23.0,8.0,0.9958384037017822
249,24.0,8.0,0.4815417528152466
250,25.0,8.0,0.05714406073093414
251,27.0,8.0,0.9961943626403809
252,28.0,8.0,0.046970102936029434
253,29.0,8.0,0.015510739758610725
254,31.0,8.0,0.9982072114944458
255,32.0,8.0,0.09914221614599228
256,35.0,8.0,0.9958097338676453
257,36.0,8.0,0.10654149949550629
258,39.0,8.0,0.9992620944976807
259,40.0,8.0,0.3701644539833069
260,41.0,8.0,0.029196621850132942
261,43.0,8.0,0.9984128475189209
262,44.0,8.0,0.023751473054289818
263,47.0,8.0,0.9989975690841675
264,48.0,8.0,0.1481480598449707
265,51.0,8.0,0.9974671602249146
266,52.0,8.0,0.024111051112413406
267,55.0,8.0,0.9996922612190247
268,56.0,8.0,0.04406653344631195
269,57.0,8.0,0.09559737145900726
270,59.0,8.0,0.9995006918907166
271,63.0,8.0,0.9997270703315735
272,67.0,8.0,0.999140202999115
273,71.0,8.0,0.9997915625572205
274,72.0,8.0,0.08289796113967896
